"","age","nbh","cbd","inst","price","rooms","area","land","baths","dist"
"1",81,4,4000,1000,49000,6,1554,6790,1,11800
"2",71,4,3000,2000,52000,5,1575,3485,1,10100
"3",31,4,3000,2000,68000,6,3304,18731,2,10200
"4",41,4,3000,2000,54000,6,1700,7500,1,11200
"5",31,4,4000,2000,70000,6,1454,5500,2,11800
"6",81,4,3000,2000,47000,6,1410,4500,1,10200
"7",19,0,5000,4000,73900,6,1592,13068,1,13200
"8",1,0,9000,9000,117500,9,1910,15246,3,18200
"9",41,0,10000,10000,60000,5,735,10454,1,19000
"10",1,0,16000,15000,85000,6,1154,43560,2,23000
"11",26,0,9000,7000,66479,5,1104,15512,1,17000
"12",81,4,1000,3000,70000,6,1830,13939,1,9000
"13",41,4,3000,4000,66500,5,1166,9770,1,10500
"14",31,4,4000,4000,91000,7,2263,10019,2,11500
"15",31,4,4000,4000,72500,6,1482,12632,1,11900
"16",36,4,4000,4000,67000,4,970,11104,1,11900
"17",21,1,8000,12000,68000,6,1684,81273,2,5800
"18",18,2,18000,18000,85000,6,1080,52272,2,24100
"19",13,4,3000,5000,106000,6,1633,17728,2,10500
"20",24,4,4000,5000,130000,7,3208,17424,3,11500
"21",0,0,11000,10000,119900,7,2258,12500,3,18800
"22",1,0,12000,10000,125000,7,2016,12632,3,18900
"23",0,0,12000,10000,118000,7,1991,12632,3,18900
"24",0,0,12000,10000,100000,7,1746,13504,3,19000
"25",1,0,12000,10000,128000,7,2700,13504,3,19000
"26",0,0,11000,10000,140000,7,2302,13504,3,18800
"27",0,0,11000,10000,143500,6,2144,12806,3,18400
"28",59,4,2000,6000,66500,5,1867,5000,1,6800
"29",51,0,2000,5000,50000,5,1140,13945,1,7100
"30",25,0,4000,5000,65000,5,912,12005,1,11100
"31",20,0,7000,7000,86000,6,1425,19550,1,14000
"32",131,0,12000,12000,120000,9,3798,50045,2,19000
"33",0,0,11000,11000,135000,7,2252,34879,3,18300
"34",0,0,11000,11000,135000,7,2252,34879,3,18300
"35",0,0,12000,11000,160000,7,2836,37046,3,18500
"36",0,0,12000,11000,168000,7,2486,30808,3,18600
"37",0,0,12000,11000,182095,7,3074,25159,3,18500
"38",0,0,12000,11000,175000,7,3074,25265,3,18500
"39",0,0,11000,11000,162000,7,3232,25380,3,18400
"40",0,0,12000,12000,189857,7,3396,31412,4,18700
"41",0,0,12000,12000,190508,7,2464,37026,3,18900
"42",0,0,12000,12000,234552,7,3252,29671,3,19000
"43",0,0,12000,11000,220000,7,3040,29621,3,19000
"44",0,0,12000,11000,175000,7,3055,25265,3,18900
"45",11,0,13000,16000,118000,7,1731,14810,2,5000
"46",1,1,11000,14000,155000,9,2996,45738,3,8700
"47",0,1,11000,14000,144000,7,2464,46174,3,8600
"48",0,1,10000,13000,216000,7,2548,46174,3,8800
"49",0,1,10000,13000,124500,6,3398,63260,4,9900
"50",0,1,10000,13000,80000,6,1988,65212,3,8100
"51",0,1,10000,14000,100000,7,5136,47916,3,8200
"52",81,4,3000,6000,88000,6,2327,35538,1,7800
"53",41,4,3000,7000,41000,6,936,8276,1,6300
"54",121,4,7000,3000,66000,7,1674,54886,1,7600
"55",7,4,4000,7000,74000,5,1587,5957,2,9600
"56",1,0,4000,7000,76900,5,1531,3049,2,7200
"57",0,0,7000,9000,132000,7,2574,43757,3,12300
"58",0,0,6000,8000,130000,7,2644,35284,2,11900
"59",39,0,10000,10000,75000,6,1456,18215,1,16100
"60",2,0,10000,11000,156500,7,2464,31215,3,16000
"61",8,0,10000,10000,140000,8,2400,29226,3,16000
"62",81,0,11000,11000,65000,6,1760,32670,2,17300
"63",6,0,12000,12000,150000,6,3132,26136,3,17800
"64",2,0,13000,13000,155000,7,2688,28688,2,19000
"65",0,6,23000,25000,153000,7,2656,43996,3,24500
"66",0,6,23000,25000,160000,7,2738,43560,3,24600
"67",0,6,23000,25000,148000,7,2736,43560,3,24600
"68",0,6,23000,25000,142000,8,3726,43935,3,24500
"69",1,6,22000,24000,162000,7,2656,45302,3,24100
"70",0,6,22000,24000,175500,8,3284,43996,3,24000
"71",1,6,22000,24000,194000,9,3170,45302,3,23900
"72",0,6,24000,25000,130500,6,2330,43995,2,26800
"73",29,1,16000,19000,73000,6,1564,48787,1,17200
"74",0,1,16000,18000,140000,6,2248,49829,3,17100
"75",29,1,17000,19000,82000,6,1566,43996,1,18300
"76",2,1,15000,17000,180000,7,2744,77101,3,16500
"77",0,1,16000,18000,200000,7,2470,64745,3,16600
"78",51,6,22000,23000,52900,6,1199,54450,1,25500
"79",17,6,21000,23000,110000,6,2204,45302,2,25200
"80",0,6,22000,24000,68000,7,2400,45738,3,25200
"81",2,6,22000,23000,90000,7,3152,51835,2,25000
"82",2,6,22000,23000,102000,7,3152,51835,2,25000
"83",0,6,22000,24000,119600,7,2701,48787,3,25300
"84",2,0,25000,26000,113500,7,2000,43569,3,28000
"85",11,2,27000,28000,80500,7,1286,44200,2,30900
"86",19,2,25000,26000,75900,6,1344,78408,2,29800
"87",2,2,23000,24000,109000,6,1232,49384,2,27000
"88",6,2,24000,24000,160000,7,4056,69465,3,27900
"89",8,2,25000,25000,120000,7,2364,43996,3,29300
"90",0,2,25000,26000,135900,7,2377,43560,3,29600
"91",6,5,27000,28000,121000,7,2706,43996,3,31800
"92",15,5,31000,32000,85000,6,1978,44867,2,35700
"93",3,5,28000,28000,133000,7,2756,43573,3,32100
"94",0,5,31000,31000,143000,7,2576,49223,3,35400
"95",2,5,32000,33000,130000,7,2528,45738,3,36800
"96",0,5,32000,32000,135000,7,2464,46609,3,36700
"97",2,5,31000,31000,141000,7,2920,43560,3,35000
"98",0,5,31000,31000,125000,7,2548,43560,3,35000
"99",0,0,24000,24000,172900,7,2580,53579,3,29100
"100",0,0,24000,24000,177755,7,2738,45973,3,28600
"101",0,0,25000,25000,125000,7,2208,45738,3,29500
"102",0,0,23000,23000,173500,7,2900,43560,3,28200
"103",0,0,23000,23000,169000,7,3292,43560,3,28100
"104",0,0,24000,24000,167950,6,2472,52708,3,28800
"105",0,0,23000,24000,145000,7,2569,43560,3,28600
"106",0,0,23000,23000,159900,7,2464,47480,3,28400
"107",0,0,23000,23000,172267,7,2826,46598,3,28300
"108",0,0,23000,23000,156900,7,2464,43908,3,28300
"109",0,0,23000,23000,169900,7,2832,43560,3,28100
"110",7,2,23000,23000,129900,7,2056,65340,3,28300
"111",26,2,21000,21000,109900,7,2632,64904,2,27000
"112",13,2,18000,19000,120000,6,2528,44431,3,24500
"113",7,2,22000,22000,140000,6,1800,44867,3,28100
"114",7,2,23000,23000,83000,6,1182,44247,1,28900
"115",0,2,21000,21000,175000,7,2738,59790,3,26600
"116",7,2,20000,20000,117500,8,2016,44900,3,25800
"117",0,2,20000,20000,155500,7,2610,44431,3,25800
"118",2,2,20000,20000,158000,7,2627,43560,3,25600
"119",7,0,20000,19000,115000,6,1848,46300,2,26500
"120",6,3,27000,26000,133500,7,2648,46609,3,33000
"121",4,3,26000,26000,128000,7,2464,43560,3,32700
"122",5,3,30000,29000,105000,7,1998,67954,3,36400
"123",16,0,33000,33000,90000,6,1549,44431,1,38900
"124",12,0,11000,13000,270000,7,3334,43560,3,15000
"125",26,0,13000,14000,70000,6,1526,28314,1,17600
"126",3,0,14000,15000,98000,6,1197,50965,2,18700
"127",1,0,12000,13000,103900,7,1836,35284,3,17400
"128",6,0,12000,12000,101100,7,2856,29955,2,17700
"129",1,0,12000,13000,107900,7,1836,35121,2,17600
"130",15,4,6000,6000,62000,6,1133,5000,1,13800
"131",1,4,6000,5000,96750,7,1242,23087,2,13400
"132",36,4,6000,6000,79500,5,2216,10000,2,13400
"133",0,4,6000,5000,97900,7,1226,13068,2,13100
"134",0,4,6000,5000,103900,7,1910,20909,2,13200
"135",3,4,5000,6000,70000,6,1728,10938,2,12800
"136",26,0,10000,10000,175000,6,1842,29130,2,16900
"137",65,0,10000,10000,80000,5,2384,10000,2,17000
"138",25,0,10000,10000,60000,6,1388,7500,1,16900
"139",0,6,24000,26000,144500,7,3140,48787,3,25000
"140",20,0,15000,15000,97000,6,1296,44867,2,21300
"141",19,0,14000,15000,95000,5,1148,44182,2,20500
"142",0,0,13000,13000,204080,7,2261,45465,3,19400
