"ALPA4","BBAS3","BBDC3","BBDC4","CMIG4","CPLE6","ELET3","ELET6","EMBR3","GGBR4","ITSA4","LIGT3","PETR3","PETR4","SBSP3","VIVT3"
"1",-6.3551237016,-5.9523821403,-2.0786792136,3.2005468565,-23.95061792,-17.714287478,-17.047655833,-13.722832525,-7.8888893127,4.1666673134,-8.5005414918,20.628141599,-14.991126438,-11.304351093,-5.7048544344,33.24347855
"2",2.4271821483,-5.6961990248,-10.708151812,-12.924411081,-5.4870139767,12.50000485,-4.3925235163,-7.1736047211,1.7454426135,-1.6000047088,-3.5294153121,1.6413251746,26.466875429,12.745102192,-12.249998565,18.749998468
"3",9.9526058319,-14.248765842,9.9345329787,13.243935705,4.7062856182,-6.507126333,1.0101011329,3.5548712231,8.7956325346,-7.5203240336,3.8445404232,-9.8323721691,4.3049474101,4.4496137709,0.56979321598,-15.444107336
"4",-5.1189039763,-4.610490986,-6.9167932417,-8.1199863084,-7.6850157927,-9.0847454288,-13.870968439,-11.044779322,6.1452536587,-4.1758212607,-8.8235347741,-5.2999976293,-9.0909072437,-8.8771204794,-3.39828055,-11.151319328
"5",14.813393619,-4.9999992239,-4.7893832279,-6.5722074679,2.1818212606,9.619687034,8.9138594965,3.6912751888,-13.789478101,-4.8623838474,-3.8709641693,-12.642798917,1.2499987894,-2.5807938478,-21.988267673,2.1843773236
"6",0.016667243108,13.157896671,20.656146891,27.561080426,14.313815878,15.646263416,27.23521583,29.126218684,34.736059462,8.2308999627,17.650236072,12.631870162,30.814813299,30.07159912,10.522530639,-28.623187354
"7",8.3416640142,-3.1007770406,1.8683502376,-0.71159630024,6.1904744445,-3.9411816138,6.7567602942,6.5413481536,-7.4659057839,6.7272731891,2.2857121059,18.54236854,-12.419777412,-14.091743679,16.789826893,4.0609162492
"8",10.492666036,0.92649453072,6.6917264263,8.3385520786,-2.5411045969,1.1022684575,-13.670890516,-12.96165317,16.949151092,11.158434391,8.8280332144,0.41563814921,24.245688858,17.684747615,23.125000815,14.634139249
"9",-0.70422675626,1.4610425565,-5.1665582948,-0.17878882545,-6.2883470636,-0.060572631901,5.2785943615,1.2702736336,7.9796036396,-9.3869749438,-2.9579102967,2.8687345781,-4.2497843852,-4.3557128451,-7.1873922047,-16.170209629
"10",-6.3829809719,-6.5599976992,-16.574077509,-22.606431874,-5.1391142931,5.0303046723,-5.5710314789,-9.5276258548,-12.044370189,-15.433405237,-13.90374277,-13.150872817,0.18115665353,-3.9658446343,-3.3762125035,-7.8680210966
"11",-1.5151545939,-2.3972624859,35.732991966,14.615646167,-13.043477981,-9.9826923401,-4.1002918473,-2.3893836041,-8.3783808397,-25.049998053,-1.2422348292,-3.2110089234,-7.7938474106,-6.1450317583,-11.25000379,-3.5812662846
"12",0,4.7368372467,20.369971395,30.42483333,11.90476384,2.971538199,10.888950945,8.824423765,21.989916092,18.879256731,25.219905589,6.1611429966,-4.883313584,-3.6210552015,17.0078624,6.5714333459
"13",32.307701654,32.663316661,-7.4274720231,-3.1220996505,26.91489165,24.683550721,20.055701025,20.169113806,28.744932206,25.206239765,6.2176169964,14.285716186,12.989689148,19.069462156,27.011498387,41.262011265
"14",-9.8837232976,-6.3043195679,-8.8632506059,-15.044904024,-14.221849936,-4.5685295986,-4.2344519484,-8.7956039713,-2.2012543158,-11.21495986,-10.243898723,-16.015627592,4.9452538726,0.73381313177,4.9773721485,-1.2499978658
"15",0.081358995703,0.55324810983,-1.4026330035,1.6796461765,-10.749185608,-4.6079158302,3.6722447998,9.5616466151,3.4788947745,0,-3.4481334055,-6.0465099195,-6.4505291238,-10.317114031,-18.534482316,-9.2827000903
"16",1.3513540725,18.982122065,6.3242471631,7.2334760263,-7.8467121901,-6.1931787394,-9.638547187,-13.853468563,18.686862727,6.2631641224,8.6206882377,-25.742573892,14.368935001,13.689589393,-4.238095332,13.023250575
"17",-4.0000079473,-9.2485605145,-1.1513834648,-4.613778843,-8.9108940836,-3.0890349998,-19.680002543,-25.979678405,1.0638338887,-21.495791658,8.4656067636,-8.0133375321,13.752119294,11.985014098,-8.2877512354,-0.45267643336
"18",-6.2499922389,22.293004059,-1.3560350782,2.2805808667,19.130434642,8.1249974533,-2.0584331321,6.6666700755,-5.6587383132,12.870666382,0.63310630449,2.9134696973,-10.223878319,-9.7157151048,0.0060236638092,-9.0119841468
"19",5.9259266618,-8.02084067,-2.6015521654,-3.618011489,-4.0145985153,2.3121347453,22.033892312,13.933825012,-1.7917115559,-2.6455350006,0,-19.718312446,-1.0823606137,2.3220672936,-0.30120095289,-6.6333523152
"20",-6.8053222275,2.5987460551,-4.2189679561,-1.1763404962,5.285174159,3.6723154626,1.3888917632,3.2591180354,-22.690993661,-2.8268547361,-4.9556730906,1.7456122127,-1.4706696167,1.533572048,1.2084616626,6.6180100841
"21",-6.1068656702,-17.633932446,-4.8467063226,-7.6350955066,-7.1867157416,-15.531334513,-12.273974386,-8.1250032742,-43.769286901,-17.575756036,-7.589832598,-29.735319709,-8.1597171403,-6.7272741145,-34.925376321,-12.825199896
"22",-3.2520329635,4.3360449166,-5.0972899679,-3.2743732441,3.8910513451,-11.801779946,9.3066876176,13.231286989,32.432433303,38.97058315,6.1452523267,12.269935902,0.94517955695,1.1695951223,2.7522992219,9.7905801642
"23",-8.4033656589,18.311688751,11.665347408,10.575564381,14.269669027,13.13433147,-7.7142885424,-7.7801107315,-1.4285749041,16.402118488,12.105270587,30.557379975,-4.4943847514,-5.3949960877,18.303561391,11.111109137
"24",-0.91742623863,16.245884699,17.204979926,14.075981996,10.285277473,10.817938354,3.095981588,1.6286617283,30.501969755,-2.7272681091,2.0109697234,2.5531553949,2.9215719185,4.1751590947,-0.37735365268,8.1115879555
"25",1.851848658,-15.01416859,-4.1783500542,-3.4999327226,5.9999977422,1.190485298,12.984840288,13.711883152,-3.677058591,14.48092718,-0.88313512424,0.44894445764,-5.5248646088,-5.9628601383,3.0303091879,1.5536736852
"26",7.2727285042,18.43714166,13.468177082,14.649310607,4.6312239399,5.8823426289,16.118333847,11.450610757,3.1535278707,12.494629599,14.218019225,-0.36567540737,17.362372623,16.63201716,10.234239016,8.9743598928
"27",-5.042376124,11.538459816,-0.42382876545,2.2685199887,-5.4644815974,-4.3888888659,-4.4793662755,-4.2276026173,4.5506588909,7.2519102421,-1.1272448685,-11.108395523,9.2553444625,6.951874458,-2.6615965705,8.0000026295
"28",2.1725034498,16.293103275,4.6941480226,-0.97605933943,7.8034709153,-1.2202112051,-7.4935418675,-4.3795602177,8.6486486951,12.099643161,0.38663505402,-9.1659779375,-5.1386586466,-4.9004360711,13.515620316,-6.6811944871
"29",-8.2235317702,-2.8910282843,-9.1868779909,-5.2842483349,-3.5769428832,-12.630403647,-9.7765356442,-9.8931256847,10.033167463,-1.5873047786,-9.9137942109,-2.9537598433,0.36113341175,-0.72832797614,-22.229871075,3.1128425257
"30",1.9900942691,-31.98473086,-14.790029986,-15.825296276,-5.4373495132,-20.618559472,-9.1021646475,-9.1833326906,5.0969854014,-5.4838677502,-8.8991151593,-11.61343203,-9.184373808,-9.9413094977,-8.1561067414,-5.6603748388
"31",-2.9220438244,-3.254768455,-14.089914375,-21.431487688,-17.187504911,-9.0909098239,-26.771114789,-22.761190814,-1.154400082,1.7482529043,-17.894738823,-8.532502245,-15.094339622,-16.680242121,-20.346622914,-2.0000040233
"32",14.990001693,31.329674888,8.7607159783,18.093341678,5.2830169849,2.7619036553,3.7209237853,5.314009575,-13.722628763,12.88659807,16.107496227,-5.9580852628,7.3333316379,7.5531658862,7.0431363392,-3.265300661
"33",-12.166274872,-26.538101956,-19.393912035,-21.471375053,-25.591396529,-33.734938511,-32.959640488,-30.7339437,0.13406959806,-22.070019579,-19.915205969,-23.557050094,-16.770183441,-16.136360168,-8.3891470316,-12.025315311
"34",18.811874396,21.374992942,17.815273555,20.807856781,18.978811065,18.321681164,35.183947113,27.152320332,13.617024523,32.773438679,31.468535957,-1.8437210933,20.895516298,20.05419351,12.607420423,22.777164166
"35",8.3166673156,4.0164749144,6.274830662,-0.48691310503,-2.8340107227,-7.9196213591,-1.138047629,0.5208324239,-7.0412023011,-3.2068184979,-5.3191502179,8.7164228959,0.91250987789,2.7208120318,-5.4669778487,0.80645021972
"36",-6.7820400875,-2.9702920996,20.163813249,15.377967289,12.919103059,28.369698949,18.1181206,21.450770821,4.7296608514,4.863213349,8.7173237551,-7.9764245485,9.9999984106,4.3869532721,10.843377928,-4.5819527243
"37",17.411249686,-1.8367391546,-12.77778968,-5.035470713,-5.2930106232,-13.89999905,-17.796610838,-13.267914013,-12.890629278,-3.5594736831,-1.5957431632,-14.602907046,-1.8939394214,2.3922343948,-6.6086973705,-0.96916624889
"38",-2.7267819454,3.8243406694,2.2793391061,3.1655515872,-9.3812329834,-8.2462287113,-13.402067497,-12.444668079,-30.1345271,4.8264954867,-1.6216200542,-27.500000466,-7.7026986922,-10.145232298,-10.509775982,2.3131683214
"39",26.234625682,9.6874908444,10.642817193,14.498912045,11.277528376,4.5569615775,8.5119116717,13.033713249,6.2901126254,-7.0719195167,16.83471339,-16.172410551,9.6626073391,12.536759855,6.0085846892,4.7364974662
"40",-3.333339956,20.607790155,4.5771267765,2.2838131747,21.931909626,15.617434765,22.819527673,23.260438057,2.0531410843,17.92920759,7.2009770562,25.503910252,6.7139196415,7.5215468729,26.36486346,17.15154857
"41",13.793111244,20.472443081,0.54377115157,-0.62823599928,-1.7857142858,3.1413658007,6.1172717442,12.183064653,6.0355058034,10.490880882,12.72727115,-6.5880065924,7.0110686043,5.8127912635,7.295614398,-4.1984732282
"42",-0.66666889434,-14.444447826,-8.3041569382,-9.2793137907,-12.892558624,-16.142136654,-14.710958942,-12.260385287,17.760749931,8.6798717304,-9.0556154607,-9.1228045868,-4.1379336653,-3.5802223089,-2.035079592,-5.1792814494
"43",2.5015221641,8.4797599193,7.9767913219,14.341403267,2.8462984154,-1.937038306,-0.96105705534,1.7296317592,0.95694146694,3.6210912909,11.111111111,-6.1776098984,9.1726662389,11.001961308,10.183477691,-5.0420159518
